#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-6.61549,50,710.0627
-4.549045,50,711.12463
-6.067667,50,712.166911
-4.400959,50,713.23771
-0.040671,1,713.257859
-4.718474,50,714.318928
-3.6954,50,715.362485
-4.989973,50,716.413654
-4.235512,50,717.443574
-6.382931,50,718.466038
-3.258914,50,719.481162
-3.558569,50,720.544051
-6.057562,50,721.600651
-3.552886,50,722.650834
-0.034678,1,722.66894
-3.364622,50,723.701597
-0.028748,1,723.718684
-2.848032,50,724.789053
-5.84533,50,725.839641
-5.543459,50,726.898956
-4.743908,50,727.94359
-0.04411,1,727.963461
-3.389739,50,729.006321
-4.967056,50,730.076118
-3.296499,50,731.11643
-0.049489,1,731.136507
-5.38436,50,732.139411
-4.348487,50,733.184131
-2.81414,50,734.251249
-6.716834,50,735.320686
-0.014732,1,735.341753
-4.204969,50,736.407539
-5.804229,50,737.460316
-5.203548,50,738.468841
-4.002474,50,739.541043
-4.839228,50,740.651675
-6.149472,50,741.726135
-0.016077,1,741.746341
-4.096534,50,742.762965
-4.778436,50,743.812677
-4.533474,50,744.890238
-3.25313,50,745.953181
-0.049671,1,745.973358
-3.960836,50,747.041954
-4.144094,50,748.066334
-4.703404,50,749.09736
-4.175353,50,750.178325
-0.021292,1,750.21256
-5.301866,50,751.24414
-0.04404,1,751.267064
-6.653958,50,752.314831
-4.506446,50,753.390642
-5.638558,50,754.436888
-3.594352,50,755.487387
-4.930868,50,756.542722
-3.180894,50,757.73951
-4.706434,50,758.823847
-4.514779,50,759.868744
-0.029844,1,759.90071
-4.603697,50,760.959937
-6.010972,50,762.020575
-4.404955,50,763.063813
-4.78281,50,764.097146
-5.476971,50,765.173214
-3.6097,50,766.206704
-0.026043,1,766.227867
-4.140394,50,767.283519
-3.789252,50,771.048321
-3.725477,50,772.108898
-4.716399,50,773.146696
-0.04263,1,773.168834
-6.412754,50,774.219483
-0.045359,1,774.241524
-5.719405,50,775.275507
-3.850704,50,776.318742
-2.946424,50,777.435967
-2.820051,50,778.475009
-4.499384,50,779.519039
-0.017977,1,779.538985
-0.02924,1,779.571473
-3.11939,50,780.656056
-4.966245,50,781.69843
-3.524939,50,782.745265
-3.768293,50,783.791188
-0.028843,1,783.815296
-5.878194,50,784.869308
-3.311558,50,785.915506
-5.005572,50,786.943764
-5.74611,50,787.994535
-3.827646,50,789.035389
-0.029405,1,789.055568
-3.87502,50,790.137939
-4.881003,50,791.186143
-3.37558,50,792.259311
-3.509842,50,793.317552
-2.794546,50,794.367732
-5.027726,50,795.402668
-0.048751,1,795.423864
-4.598572,50,796.483591
-0.047438,1,796.512877
-6.05844,50,797.616814
-0.028486,1,797.635889
-4.816612,50,798.670368
-5.026031,50,799.715958
-0.024371,1,799.737027
-4.502197,50,800.774159
-0.02911,1,800.794438
-0.032788,1,800.821764
-4.587007,50,801.868048
-2.839583,50,802.935498
-3.856762,50,803.991729
-3.563655,50,805.065162
-4.393768,50,806.114724
-5.132202,50,807.143835
-4.581738,50,808.196064
-3.960877,50,809.243336
-3.590035,50,810.366413
-5.233273,50,811.430818
-5.714252,50,812.468984
-4.543439,50,813.518937
-5.289902,50,814.554764
-0.035986,1,814.575077
-5.176075,50,815.628737
-4.858839,50,816.712506
-4.313074,50,817.77845
-3.551019,50,818.804809
-6.478086,50,819.90836
-4.562832,50,820.953267
-5.136188,50,822.014307
-4.867273,50,823.0842
-3.685821,50,824.156893
-4.690795,50,825.244109
-2.970995,50,826.294226
-3.463202,50,827.354406
-3.725004,50,828.40761
-3.684749,50,829.458493
-4.971244,50,830.518892
-0.042465,1,830.538841
-5.365544,50,831.589439
-4.566031,50,832.644227
-0.047515,1,832.664175
-4.256813,50,833.709481
-3.214386,50,834.795866
-5.799641,50,835.889849
-3.521123,50,836.900501
-4.83097,50,837.925174
-4.207182,50,838.978588
-3.664121,50,840.062798
-0.044025,1,840.090761
